OBJECTID,FID_ANP_Fed_ZN_ccl_V1_0,CLAVE,TIPO,,NOM_ANP,TIPO_POL,ANP & Zona Nucleo,NOM_POLIG,CAT_MANEJO,FEC_DECRET,ESTADO,MUNICIPIO,CAT_UICN,FUENTE,SUP_DECRE,HECTARES,SUPTER_CAL,SUPMAR_CAL,Ha_manu,FID_Concesiones_mineras_Agosto_2012,TITULO,IDENTICO,TITU_DERIV,TITULO_ANT,CLASE,EXPEDIENTE,AGENCIA,NOMBRELOTE,MUNICIPIO_1,ESTAMU,FECHA_SOL,SUPERFICIE,TITULAR,SUST1,SUST2,SUST3,SUST4,SUST5,SUST6,SUST7,SUST8,SUST9,EXPEDICION,VIGENCIA,ISLA,OBSERVA,CONDICION,TIPO_CAN,FECHA_OF,HECTAREAS,Inter_Has
45,53, ,Federal,,Ria Lagartos,Zona Nucleo,"Ria Lagartos & Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar","Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar",RB,5/21/1999,Yucatan,Río Lagartos y Tizimín,Ia,CONANP,8745.3871,8665.511,0,0,8665.51145105,8596,196735, , ,169959,EXPLOT.,321.4/5327,94,NEPTUNO,TIZIMIN,YUC.,09/25/1992,110,JOSE ALVAREZ GUERRERO,SAL, , , , , , , , ,08/06/1993,03/11/2032, , ,VIGENTE, , ,108.940503637,17.1402635348
46,53, ,Federal,,Ria Lagartos,Zona Nucleo,"Ria Lagartos & Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar","Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar",RB,5/21/1999,Yucatan,Río Lagartos y Tizimín,Ia,CONANP,8745.3871,8665.511,0,0,8665.51145105,14613,213420, , , ,EXPLOR.,0004,113,ISYSA 15 FRACC. I,RIO LAGARTOS,YUC.,11/30/1999,1987,"INDUSTRIA SALINERA DE YUCATAN, S.A.",SAL, , , , , , , , ,05/11/2001,05/10/2007, , ,VIGENTE, , ,1968.15354372,886.2785321347
47,53, ,Federal,,Ria Lagartos,Zona Nucleo,"Ria Lagartos & Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar","Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar",RB,5/21/1999,Yucatan,Río Lagartos y Tizimín,Ia,CONANP,8745.3871,8665.511,0,0,8665.51145105,14614,210620, , , ,EXPLOR.,0002,113,ISYSA 10,RIO LAGARTOS,YUC.,03/12/1998,1528,"INDUSTRIA SALINERA DE YUCATAN, S.A.",SAL, , , , , , , , ,10/29/1999,10/28/2005, , ,VIGENTE, , ,1512.71470725,886.3990140174
48,54, ,Federal,,Ria Lagartos,Zona Nucleo,Ria Lagartos & Zona Nucleo 5 Punta Meco,Zona Nucleo 5 Punta Meco,RB,5/21/1999,Yucatan,Tizimín,Ia,CONANP,747.7651,741.647,0,0,741.647213266,14612,213419, , , ,EXPLOR.,0004,113,ISYSA 15,RIO LAGARTOS,YUC.,11/30/1999,6.7919998169,"INDUSTRIA SALINERA DE YUCATAN, S.A.",SAL, , , , , , , , ,05/11/2001,05/10/2007, , ,VIGENTE, , ,6.7263258374,2.61252354
49,54, ,Federal,,Ria Lagartos,Zona Nucleo,Ria Lagartos & Zona Nucleo 5 Punta Meco,Zona Nucleo 5 Punta Meco,RB,5/21/1999,Yucatan,Tizimín,Ia,CONANP,747.7651,741.647,0,0,741.647213266,14613,213420, , , ,EXPLOR.,0004,113,ISYSA 15 FRACC. I,RIO LAGARTOS,YUC.,11/30/1999,1987,"INDUSTRIA SALINERA DE YUCATAN, S.A.",SAL, , , , , , , , ,05/11/2001,05/10/2007, , ,VIGENTE, , ,1968.15354372,28.1639937486
50,63, ,Federal,,Sierra de Manantlan,Zona Nucleo,Sierra de Manantlan & Zona Nucleo Manantlan-Las Joyas,Zona Nucleo Manantlan-Las Joyas,RB,3/23/1987,Jalisco y Colima,"Casimiro Castillo, Autlán de Navarro, Cuautitlán de García Barragán, Tuxcacuesco y Tolimán",Ia,CONANP,34521.75,34328.104,0,0,34328.1038179,19932,210236, , , ,EXPLOR.,14949,45,ESTRELLA DEL SUR II,TOLIMAN,JAL.,01/08/1999,29170,ROBERTO MAGAÑA ACEVES, , , , , , , , , ,09/24/1999,09/23/2005, , ,VIGENTE, , ,29394.05329,8266.6259573641
51,63, ,Federal,,Sierra de Manantlan,Zona Nucleo,Sierra de Manantlan & Zona Nucleo Manantlan-Las Joyas,Zona Nucleo Manantlan-Las Joyas,RB,3/23/1987,Jalisco y Colima,"Casimiro Castillo, Autlán de Navarro, Cuautitlán de García Barragán, Tuxcacuesco y Tolimán",Ia,CONANP,34521.75,34328.104,0,0,34328.1038179,23711,233551, , , ,EXPLOR.,16625,45,VENTANAS 2,TUXCACUESCO,JAL.,02/14/2008,100,MIGUEL ANGEL CALDERON GARCIA Y SOCIOS,Cu,Au,Ag,TSP, , , , , ,03/11/2009,03/10/2059, , ,VIGENTE, , ,99.3607265522,47.4247288552
52,63, ,Federal,,Sierra de Manantlan,Zona Nucleo,Sierra de Manantlan & Zona Nucleo Manantlan-Las Joyas,Zona Nucleo Manantlan-Las Joyas,RB,3/23/1987,Jalisco y Colima,"Casimiro Castillo, Autlán de Navarro, Cuautitlán de García Barragán, Tuxcacuesco y Tolimán",Ia,CONANP,34521.75,34328.104,0,0,34328.1038179,30203,240202, , , ,EXPLOR.,17472,45,CARITO,AUTLAN DE NAVARRO,JAL.,08/25/2011,1800,NORMA BEATRIZ ASTORGA BELTRAN Y SOCIOS,Fe,Au,Ag,TSP,Cu, , , , ,04/27/2012,04/26/2062, , ,VIGENTE, , ,1788.56225238,672.5008547273
53,65, ,Federal,,Sierra de Manantlan,Zona Nucleo,Sierra de Manantlan & Zona Nucleo Cerro Grande,Zona Nucleo Cerro Grande,RB,3/23/1987,Jalisco y Colima,Tolimán,Ia,CONANP,3993.5,3971.149,0,0,3971.14937364,19932,210236, , , ,EXPLOR.,14949,45,ESTRELLA DEL SUR II,TOLIMAN,JAL.,01/08/1999,29170,ROBERTO MAGAÑA ACEVES, , , , , , , , , ,09/24/1999,09/23/2005, , ,VIGENTE, , ,29394.05329,1350.7790689464
54,66, ,Federal,,"Alto Golfo de California, Delta del Rio Colorado",Zona Nucleo,"Alto Golfo de California, Delta del Rio Colorado & Delta del Rio Colorado",Delta del Rio Colorado,RB,6/10/1993,"Baja California, Sonora","Mexicali, San Luis Río Colorado",Ia,CONANP,164779.75,166368.206,0,0,166368.206453,14564,198815, , ,177778,EXPLOT.,321.4/5568,78,CAMALEON II,SAN LUIS RIO COLORADO,SON.,09/25/1992,347.3999938965,ARMANDO COVARRUBIAS RUBIO,SAL, , , , , , , , ,12/30/1993,12/29/2043, , ,VIGENTE, , ,351.27021775,248.0608361106
55,67, ,Federal,,Sierra de Abra Tanchipa,Zona Nucleo,Sierra de Abra Tanchipa & Zona Nucleo,Zona Nucleo,RB,6/6/1994,San Luis Potosi,Ciudad Valles,Ia,CONANP,16758.85,16597.932,0,0,16597.9321233,15327,205550, , , ,EXPLOR.,19110,67,LA COSTEÑA,TAMUIN,S.L.P,01/28/1997,80,SERGIO ESTRADA ARANDA, , , , , , , , , ,09/19/1997,09/18/2003, , ,VIGENTE, , ,79.16530987,66.2942614607
56,74, ,Federal,,Chamela-Cuixmala,Zona Nucleo,Chamela-Cuixmala & ZN I,ZN I,RB,12/30/1993,Jalisco,La Huerta,Ia,CONANP,6323.2224,6289.406,0,0,6289.40577889,24218,234023, , , ,EXPLOR.,16732,45,AMP. EL BONETE FRACC. I,LA HUERTA,JAL.,04/30/2008,68940,JOSE CRUZ SOLORIO SANTANA Y SOCIOS,Fe,Cu,Au,Ag,TSP, , , , ,05/22/2009,05/21/2059, , ,VIGENTE, , ,69471.9484324,508.7194730591
57,81, ,Federal,,Los Tuxtlas,Zona Nucleo,Los Tuxtlas & Zona Nucleo Sierra Santa Marta,Zona Nucleo Sierra Santa Marta,RB,11/23/1998,Veracruz,"Catemaco, Mecayapan, Tatahuicapan de Juárez, Soteapan y Mecayapan",Ia,CONANP,18031.818,18037.242,0,0,18037.2415829,8649,209542, , ,190398,EXPLOT.,5/1.3/233,108,POUS 4,CATEMACO,VER.,11/12/1998,5765,ARMANDO RAFAEL POUS ESCALANTE, , , , , , , , , ,08/03/1999,08/02/2049, , ,VIGENTE, , ,5747.88282909,362.7522092554
58,81, ,Federal,,Los Tuxtlas,Zona Nucleo,Los Tuxtlas & Zona Nucleo Sierra Santa Marta,Zona Nucleo Sierra Santa Marta,RB,11/23/1998,Veracruz,"Catemaco, Mecayapan, Tatahuicapan de Juárez, Soteapan y Mecayapan",Ia,CONANP,18031.818,18037.242,0,0,18037.2415829,14605,224699, , , ,EXPLOR.,83,108,AMP. LA MORELENSE,CATEMACO,VER.,11/16/2004,42.1399993896,MOISES MARINA PANTALEON, , , , , , , , , ,05/31/2005,05/30/2011, , ,VIGENTE, , ,42.0166315479,42.0182012424
59,81, ,Federal,,Los Tuxtlas,Zona Nucleo,Los Tuxtlas & Zona Nucleo Sierra Santa Marta,Zona Nucleo Sierra Santa Marta,RB,11/23/1998,Veracruz,"Catemaco, Mecayapan, Tatahuicapan de Juárez, Soteapan y Mecayapan",Ia,CONANP,18031.818,18037.242,0,0,18037.2415829,14606,224368, , , ,EXPLOR.,78,108,LA MORELENSE,CATEMACO,VER.,09/17/2004,42.5600013733,MOISES MARINA PANTALEON, , , , , , , , , ,04/27/2005,04/26/2011, , ,VIGENTE, , ,42.4373135168,42.4388913563
60,81, ,Federal,,Los Tuxtlas,Zona Nucleo,Los Tuxtlas & Zona Nucleo Sierra Santa Marta,Zona Nucleo Sierra Santa Marta,RB,11/23/1998,Veracruz,"Catemaco, Mecayapan, Tatahuicapan de Juárez, Soteapan y Mecayapan",Ia,CONANP,18031.818,18037.242,0,0,18037.2415829,14607,224369, , , ,EXPLOR.,78,108,LA MORELENSE FRACCION I,CATEMACO,VER.,09/17/2004,5.2699999809,MOISES MARINA PANTALEON, , , , , , , , , ,04/27/2005,04/26/2011, , ,VIGENTE, , ,5.2544392497,5.2546386332
61,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,578,230980, , , ,EXPLOR.,9401,31,DANY,XICHU,GTO.,05/30/2007,20090,"DESARROLLOS MINEROS SAN LUIS, S.A. DE C.V.",Au,Ag,Pb,Zn,TSP, , , , ,11/22/2007,11/21/2057, , ,VIGENTE, , ,23796.2783506,10276.7456199591
62,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,748,228283, , , ,EXPLOR.,9360,31,CARRICILLO-2,ATARJEA,GTO.,06/09/2006,3755,"MINERA DE CORDILLERAS, S. DE R.L. DE C.V.",Au,Ag,Pb,Cu,Zn,TSP, , , ,10/27/2006,10/26/2056, , ,VIGENTE, , ,3918.60807817,1084.855887412
63,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,5733,222131, , ,200112,EXPLOT.,6/1.3/463,31,XICHU,XICHU,GTO.,07/04/2000,2391,"MINERA NAFTA, S.A. DE C.V.",Au,Ag,Cu, , , , , , ,05/21/2004,05/20/2054, , ,VIGENTE, , ,2476.70090376,1062.6041102864
64,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,18996,218763, , , ,EXPLOR.,9217,31,BETOnS,ATARJEA,GTO.,06/14/2002,88.9100036621,HUMBERTO VEGA OLVERA,Au,Ag,Pb,Cu,Zn,Hg,Mn,OXF, ,01/17/2003,01/16/2009, , ,VIGENTE, , ,88.0803160666,4.3782142773
65,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,24085,233898, , , ,EXPLOR.,9458,31,LUPITA,XICHU,GTO.,09/24/2008,490,MA. LUCIA RIVERA Y SOCIOS,POT,TSP, , , , , , , ,04/24/2009,04/23/2059, , ,VIGENTE, , ,485.396568393,58.1607384697
66,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,24260,234122, , , ,EXPLOR.,9363,31,EL REALITO,VICTORIA,GTO.,06/26/2006,24700,"MEXICHEM FLUOR, S.A. DE C.V.",FLU,Sb,Hg,TSP, , , , , ,05/29/2009,05/28/2059, , ,VIGENTE, , ,28599.9558757,2557.556050115
67,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,24562,234384, , , ,EXPLOR.,9472,31,LA SUERTE,ATARJEA,GTO.,05/07/2009,36,MARCOS FLORES LARA,Au,Ag,Cu,BAR, , , , , ,06/24/2009,06/23/2059, , ,VIGENTE, , ,35.6631987823,35.664370255
68,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,25754,235641, , , ,EXPLOR.,9486,31,LILIANA,XICHU,GTO.,09/22/2009,217,CARLOS CHARRE OTERO Y SOCIOS,FLU,TSP, , , , , , , ,02/05/2010,02/04/2060, , ,VIGENTE, , ,214.917842046,214.9248149243
69,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,29095,238911, , , ,EXPLOR.,10208,31,DONANA,ATARJEA,GTO.,12/16/2010,92.5899963379,J. RAMON CARLOS DE LA VEGA DURAN Y SOCIOS,Au,Ag,Hg,Pb,Zn,TSP, , , ,11/11/2011,11/10/2061, , ,VIGENTE, , ,91.726020555,77.0985312815
70,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,29103,238923, , , ,EXPLOR.,10209,31,AMIGOS,ATARJEA,GTO.,12/16/2010,50,J. RAMON CARLOS DE LA VEGA DURAN Y SOCIOS,Au,Ag,Hg,Pb,Zn,TSP, , , ,11/11/2011,11/10/2061, , ,VIGENTE, , ,49.5341045133,3.7150866474
71,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,29173,239114, , , ,EXPLOR.,10215,31,CERRO AZUL,ATARJEA,GTO.,02/21/2011,39.5,J. ARCADIO MANUEL MARTINEZ CASAS,Au,Ag,Hg,Pb,Zn,TSP, , , ,11/29/2011,11/28/2061, , ,VIGENTE, , ,39.1267997911,2.7188716443
72,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,29553,239484, , , ,EXPLOR.,10229,31,EL REALITO 2,VICTORIA,GTO.,05/27/2011,8744,"MEXICHEM FLUOR, S.A. DE C.V.",TSP, , , , , , , , ,12/15/2011,12/14/2061, , ,VIGENTE, , ,8660.08193181,1591.6147780382
73,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,30877,240785, , , ,EXPLOR.,31/10257,31,JANET,XICHU,GTO.,01/05/2012,1665,AGUSTIN FELIX OLVERA,TSP, , , , , , , , ,07/17/2012,07/16/2062, , ,VIGENTE, , ,1649.65949361,225.9404635909
74,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,30883,240808, , , ,EXPLOR.,31/10238,31,EL RUSO,ATARJEA,GTO.,08/19/2011,493,ANA LILIA ACOSTA GARCIA Y SOCIOS,Au,Ag,Cu,Pb,Zn,TSP, , , ,07/17/2012,07/16/2062, , ,VIGENTE, , ,488.390421996,467.5706487934
75,107, ,Federal,,Zicuiran - Infiernillo,Zona Nucleo,Zicuiran - Infiernillo & Zona Nucleo III,Zona Nucleo III,RB,11/30/2007,Michoacan,La Huacana y Arteaga,Ia,CONANP,9025.37536,8975.478,0,0,8975.47785454,1590,227909, , , ,EXPLOR.,7741,54,EL FARAON  IV,ARTEAGA,MICH.,12/01/2005,51990,"MITTAL STEEL, MEXICO, S.A. DE C.V.",Fe,Au,Ag,Pb,Cu,Zn,TSP, , ,09/13/2006,09/12/2056, , ,VIGENTE, , ,52954.06973,6906.1736561311
76,108, ,Federal,,Zicuiran - Infiernillo,Zona Nucleo,Zicuiran - Infiernillo & Zona Nucleo II,Zona Nucleo II,RB,11/30/2007,Michoacan,La Huacana,Ia,CONANP,706.42545,702.559,0,0,702.558709138,15427,224815, , , ,EXPLOR.,7652,54,POTURO 1,CHURUMUCO,MICH.,01/14/2005,672.799987793,"MINERA JACKMAN, S.A. DE C.V.",Au,Ag,Cu,TSP, , , , , ,06/14/2005,06/13/2011, , ,VIGENTE, , ,669.916346817,296.6421945925
77,108, ,Federal,,Zicuiran - Infiernillo,Zona Nucleo,Zicuiran - Infiernillo & Zona Nucleo II,Zona Nucleo II,RB,11/30/2007,Michoacan,La Huacana,Ia,CONANP,706.42545,702.559,0,0,702.558709138,15494,221973, , , ,EXPLOR.,7508,54,COYOTES,LA HUACANA,MICH.,12/10/2003,3475,"MINERA JACKMAN, S.A. DE C.V.",Au,Ag,Pb,Cu,Zn, , , , ,04/22/2004,04/21/2010, , ,VIGENTE, , ,3459.81553346,49.8121545811
78,108, ,Federal,,Zicuiran - Infiernillo,Zona Nucleo,Zicuiran - Infiernillo & Zona Nucleo II,Zona Nucleo II,RB,11/30/2007,Michoacan,La Huacana,Ia,CONANP,706.42545,702.559,0,0,702.558709138,23611,233437, , ,232384,R-EXPLOR,6/2/44,54,LA HUACANA 1 RED,LA HUACANA,MICH.,12/12/2008,16260,"MINERA DE CORDILLERAS, S. DE R.L. DE C.V.",POT,TSP, , , , , , , ,02/24/2009,08/04/2058, , ,VIGENTE, , ,17022.4098057,115.1705706575
79,108, ,Federal,,Zicuiran - Infiernillo,Zona Nucleo,Zicuiran - Infiernillo & Zona Nucleo II,Zona Nucleo II,RB,11/30/2007,Michoacan,La Huacana,Ia,CONANP,706.42545,702.559,0,0,702.558709138,27457,237444, , , ,EXPLOR.,8422,54,VEVA,LA HUACANA,MICH.,04/09/2010,7779,"MINING MAC, S.A. DE C.V.",Fe,TSP,POT, , , , , , ,12/17/2010,12/16/2060, , ,VIGENTE, , ,7746.47588303,21.8811544784
80,108, ,Federal,,Zicuiran - Infiernillo,Zona Nucleo,Zicuiran - Infiernillo & Zona Nucleo II,Zona Nucleo II,RB,11/30/2007,Michoacan,La Huacana,Ia,CONANP,706.42545,702.559,0,0,702.558709138,30779,240754, , ,233437,REDUCCIO,72,54,RED LA HUACANA 1 RED. FR. 4,LA HUACANA,MICH.,06/24/2011,700,"MINERA DE CORDILLERAS, S. DE R.L. DE C.V.",POT,TSP, , , , , , , ,06/28/2012,08/04/2058, , ,VIGENTE, , ,696.996261949,0.0405225736
81,109, ,Federal,,Zicuiran - Infiernillo,Zona Nucleo,Zicuiran - Infiernillo & Zona Nucleo I,Zona Nucleo I,RB,11/30/2007,Michoacan,La Huacana,Ia,CONANP,4865.17815,4835.741,0,0,4835.74077044,18521,224818, , , ,EXPLOR.,7655,54,SAN JUAN III,LA HUACANA,MICH.,01/17/2005,2855,"MINERA JACKMAN, S.A. DE C.V.",Au,Ag,Cu,TSP, , , , , ,06/14/2005,06/13/2011, , ,VIGENTE, , ,3483.36752432,66.1137378309
82,109, ,Federal,,Zicuiran - Infiernillo,Zona Nucleo,Zicuiran - Infiernillo & Zona Nucleo I,Zona Nucleo I,RB,11/30/2007,Michoacan,La Huacana,Ia,CONANP,4865.17815,4835.741,0,0,4835.74077044,23611,233437, , ,232384,R-EXPLOR,6/2/44,54,LA HUACANA 1 RED,LA HUACANA,MICH.,12/12/2008,16260,"MINERA DE CORDILLERAS, S. DE R.L. DE C.V.",POT,TSP, , , , , , , ,02/24/2009,08/04/2058, , ,VIGENTE, , ,17022.4098057,27.6010944835
83,109, ,Federal,,Zicuiran - Infiernillo,Zona Nucleo,Zicuiran - Infiernillo & Zona Nucleo I,Zona Nucleo I,RB,11/30/2007,Michoacan,La Huacana,Ia,CONANP,4865.17815,4835.741,0,0,4835.74077044,27425,237351, , , ,EXPLOR.,8396,54,LOS TULES,LA HUACANA,MICH.,02/12/2010,6757,JOSE ALEJANDRO MEDINA XOCHIHUA,Fe,OTR, , , , , , , ,12/09/2010,12/08/2060, , ,VIGENTE, , ,6806.65025646,1640.847443354
84,110, ,Federal,,Zicuiran - Infiernillo,Zona Nucleo,Zicuiran - Infiernillo & Zona Nucleo IV,Zona Nucleo IV,RB,11/30/2007,Michoacan,Arteaga,Ia,CONANP,8102.65788,8066.894,0,0,8066.89405308,1590,227909, , , ,EXPLOR.,7741,54,EL FARAON  IV,ARTEAGA,MICH.,12/01/2005,51990,"MITTAL STEEL, MEXICO, S.A. DE C.V.",Fe,Au,Ag,Pb,Cu,Zn,TSP, , ,09/13/2006,09/12/2056, , ,VIGENTE, , ,52954.06973,1201.5237760181
85,110, ,Federal,,Zicuiran - Infiernillo,Zona Nucleo,Zicuiran - Infiernillo & Zona Nucleo IV,Zona Nucleo IV,RB,11/30/2007,Michoacan,Arteaga,Ia,CONANP,8102.65788,8066.894,0,0,8066.89405308,24054,233789, , , ,EXPLOR.,8278,54,GOYITA,ARTEAGA,MICH.,01/14/2009,2244,GREGORIA HUATO PEÑALOZA Y SOCIOS,Au,Ag,Cu,Pb,Zn,TSP, , , ,04/14/2009,04/13/2059, , ,VIGENTE, , ,2237.26700938,16.2423739838
86,110, ,Federal,,Zicuiran - Infiernillo,Zona Nucleo,Zicuiran - Infiernillo & Zona Nucleo IV,Zona Nucleo IV,RB,11/30/2007,Michoacan,Arteaga,Ia,CONANP,8102.65788,8066.894,0,0,8066.89405308,25907,235801, , , ,EXPLOR.,8314,54,JANETH,ARTEAGA,MICH.,12/07/2009,200,JOSE LUIS GARCIA NUÑEZ,Au,Ag,Cu,Zn,TSP, , , , ,03/12/2010,03/11/2060, , ,VIGENTE, , ,199.402504723,2.5760784358
87,110, ,Federal,,Zicuiran - Infiernillo,Zona Nucleo,Zicuiran - Infiernillo & Zona Nucleo IV,Zona Nucleo IV,RB,11/30/2007,Michoacan,Arteaga,Ia,CONANP,8102.65788,8066.894,0,0,8066.89405308,28146,238133, , , ,EXPLOR.,8592,54,LA GOLETA,ARTEAGA,MICH.,01/05/2011,6620,MARICELA BARAJAS TORRES Y SOCIOS,Fe,Cu,Ag,Au,TSP, , , , ,07/29/2011,07/28/2061, , ,VIGENTE, , ,6604.7975541,4.8540903539
88,110, ,Federal,,Zicuiran - Infiernillo,Zona Nucleo,Zicuiran - Infiernillo & Zona Nucleo IV,Zona Nucleo IV,RB,11/30/2007,Michoacan,Arteaga,Ia,CONANP,8102.65788,8066.894,0,0,8066.89405308,29851,239736, , , ,EXPLOR.,8604,54,INFIERNILLO,ARTEAGA,MICH.,01/28/2011,6090,JULIO OSCAR TRASVIÑA AGUILAR,TSP,Au,Ag,Cu,Fe,Zn, , , ,02/15/2012,02/14/2062, , ,VIGENTE, , ,6570.43531885,1003.4890608173
89,1, ,Federal,,Mariposa Monarca,Zona Nucleo,Mariposa Monarca & Zona Nucleo Chincua-Campanario-Chivati,Zona Nucleo Chincua-Campanario-Chivati,RB,11/10/2000,Edo de Mexico y Michoacan,"Senguio, Angangueo, San José del Rincón, Ocampo y Zitácuaro",Ia,CONANP,9233.96253,9179.637,0,0,9179.63748713,123,231987, , ,231821,U-EXPLOT,9/6/28,54,UNIFICACION ANGANGUEO,ANGANGUEO,MICH.,05/22/2008,5943,"INDUSTRIAL MINERA MEXICO, S.A. DE C.V.",POT,TSP, , , , , , , ,05/28/2008,05/27/2058, , ,VIGENTE, , ,5947.97845205,0.0058564121
90,1, ,Federal,,Mariposa Monarca,Zona Nucleo,Mariposa Monarca & Zona Nucleo Chincua-Campanario-Chivati,Zona Nucleo Chincua-Campanario-Chivati,RB,11/10/2000,Edo de Mexico y Michoacan,"Senguio, Angangueo, San José del Rincón, Ocampo y Zitácuaro",Ia,CONANP,9233.96253,9179.637,0,0,9179.63748713,361,228290, , , ,EXPLOR.,7765,54,DANIELA,ANGANGUEO,MICH.,01/27/2006,416.6000061035,"COMERCIALIZADORA SAGO IMPORT EXPORT, S.A. DE C.V.",Pb,Ag,Cu,Zn,Au,TSP, , , ,10/27/2006,10/26/2056, , ,VIGENTE, , ,413.96285028,0.0058564121
91,5, ,Federal,,El Vizcaino,Zona Nucleo,El Vizcaino & Zona Nucleo Desierto del Vizcaino,Zona Nucleo Desierto del Vizcaino,RB,11/30/1988,Baja California Sur,Mulegé,Ia,CONANP,307433.5,304991.953,0,0,304991.952962,13427,221090, , ,197749,EXPLOT.,4/2/48,2,GUERRERO NEGRO,ENSENADA,B.C.,07/23/2003,51270,"EXPORTADORA DE SAL, S.A. DE C.V.", , , , , , , , , ,11/19/2003,09/22/2043, , ,VIGENTE, , ,50975.2164348,1.2652855419
92,5, ,Federal,,El Vizcaino,Zona Nucleo,El Vizcaino & Zona Nucleo Desierto del Vizcaino,Zona Nucleo Desierto del Vizcaino,RB,11/30/1988,Baja California Sur,Mulegé,Ia,CONANP,307433.5,304991.953,0,0,304991.952962,14602,224179, , ,208440,EXPLOT.,4/1/2647,100,GUERRERO NEGRO I,MULEGE,B.C.S,09/30/2004,22700,"EXPORTADORA DE SAL, S.A. DE C.V.", , , , , , , , , ,04/20/2005,04/19/2055, , ,VIGENTE, , ,24486.1865138,1.2652855419
